8575309	8945792
8575222	8945433
8575067	8945123
8575055	8944821
8574919	8944473
8574830	8944201
8574726	8943827
8574617	8943506
8574601	8943134
8574446	8942830
8574255	8942505
8574173	8942168
8574098	8941851
8574048	8941569
8573963	8941213
8573812	8940912
8573763	8940523
8573664	8940261
8573547	8939900
8573488	8939594
8573409	8939214
8573272	8938940
8573142	8938634
8573133	8938356
8572993	8938015
8572902	8937672
8572868	8937304
8572752	8936995
8572663	8936734
8572545	8936439
8572514	8936102
8572428	8935842
8572279	8935477
8572202	8935161
8572067	8934809
8572047	8934522
8571929	8934225
8571891	8933880
8571772	8933632
8571658	8933216
8571612	8932963
8571459	8932630
8571376	8932322
8571311	8932041
8571232	8931724
8571098	8931429
8571064	8931185
8570903	8930807
8570845	8930506
8570730	8930208
8570656	8929878
8570579	8929597
8570534	8929275
8570374	8928985
8570364	8928675
8570256	8928334
8570140	8928073
8570077	8927801
8569999	8927444
8569948	8927156
8569844	8926870
8569724	8926534
8569651	8926238
8569601	8925918
8569455	8925612
8569383	8925339
8569353	8925027
8569224	8924729
8569151	8924350
8569027	8924138
8568916	8923850
8568909	8923519
8568810	8923254
8568697	8922946
8568643	8922655
8568548	8922302
8568491	8922033
8568354	8921693
8568273	8921426
8568221	8921132
8568089	8920747
8568030	8920476
8567924	8920178
8567770	8919867
8567744	8919647
8567665	8919272
8567554	8919045
8567503	8918726
8567437	8918425
8567305	8918125
8567235	8917806
8567116	8917510
8567044	8917235
8566995	8916921
8566823	8916644
8566773	8916337
8566692	8916082
8566625	8915795
8566513	8915493
8566408	8915131
8566315	8914857
8566282	8914574
8566145	8914276
8566104	8913922
8566002	8913694
8565886	8913346
8565860	8913041
8565750	8912779
8565654	8912503
8565546	8912243
8565456	8911964
8565364	8911586
8565376	8911388
8565231	8911017
8565154	8910836
8565056	8910453
8565048	8910133
8564894	8909887
8564721	8909611
8564734	8909277
8564620	8908993
8564552	8908711
8564405	8908403
8564325	8908131
8564271	8907875
8564171	8907556
8564059	8907310
8564020	8906985
8563902	8906692
8563843	8906467
8563794	8906152
8563677	8905883
8563622	8905518
8563520	8905305
8563438	8904985
8563295	8904727
8563257	8904408
8563118	8904142
8563092	8903866
8562953	8903577
8562879	8903258
8562861	8902992
8562711	8902667
8562623	8902402
8562499	8902137
8562431	8901891
8562416	8901603
8562342	8901296
8562216	8901040
8562116	8900754
8562033	8900461
8561947	8900231
8561841	8899938
8561759	8899629
8561724	8899386
8561624	8899106
8561542	8898792
8561473	8898477
8561329	8898171
8561297	8897983
8561170	8897642
8561069	8897361
8561079	8897177
8560948	8896850
8560880	8896594
8560721	8896327
8560722	8896040
8560586	8895737
8560539	8895469
8560448	8895247
8560341	8894955
8560252	8894671
8560175	8894392
8560087	8894082
8560053	8893880
8559978	8893574
8559863	8893315
8559773	8893042
8559701	8892789
8559587	8892530
8559577	8892267
8559482	8891979
8559325	8891706
8559337	8891454
8559284	8891202
8559095	8890853
8559023	8890685
8558911	8890364
8558934	8890095
8558812	8889846
8558678	8889583
8558649	8889310
8558594	8889025
8558481	8888755
8558398	8888531
8558317	8888270
8558181	8888029
8558168	8887761
8558107	8887506
8558005	8887204
8557891	8886965
8557840	8886638
8557769	8886431
8557692	8886171
8557621	8885944
8557476	8885659
8557396	8885384
8557280	8885104
8557314	8884905
8557196	8884641
8557074	8884405
8557032	8884087
8556976	8883894
8556858	8883638
8556746	8883365
8556729	8883118
8556659	8882870
8556631	8882587
8556514	8882357
8556384	8882105
8556325	8881922
8556283	8881615
8556180	8881360
8556150	8881119
8556018	8880849
8555945	8880580
8555885	8880365
8555760	8880086
8555672	8879829
8555638	8879610
8555561	8879384
8555512	8879137
8555382	8878887
8555310	8878655
8555205	8878424
8555185	8878198
8555042	8877962
8555069	8877691
8554895	8877482
8554851	8877265
8554793	8876951
8554725	8876731
8554573	8876523
8554562	8876287
8554525	8875974
8554441	8875765
8554312	8875555
8554306	8875285
8554169	8875094
8554115	8874865
8554062	8874637
8553991	8874392
8553912	8874150
8553836	8873905
8553626	8873727
8553662	8873438
8553578	8873190
8553466	8872994
8553460	8872698
8553370	8872545
8553281	8872254
8553199	8872083
8553100	8871802
8553048	8871549
8553012	8871383
8552965	8871095
8552831	8870901
8552775	8870695
8552741	8870468
8552644	8870233
8552538	8869986
8552464	8869837
8552378	8869579
8552346	8869395
8552326	8869132
8552219	8868917
8552131	8868700
8552063	8868496
8552018	8868269
8551925	8868084
8551829	8867866
8551795	8867662
8551686	8867429
8551581	8867217
8551575	8866971
8551531	8866768
8551421	8866587
8551332	8866351
8551254	8866149
8551157	8865943
8551143	8865699
8551066	8865495
8550931	8865217
8550957	8865079
8550876	8864822
8550766	8864641
8550709	8864458
8550710	8864214
8550585	8864027
8550486	8863854
8550412	8863641
8550379	8863336
8550285	8863196
8550235	8862958
8550171	8862793
8550083	8862604
8550045	8862401
8549885	8862231
8549860	8861994
8549793	8861799
8549787	8861587
8549643	8861415
8549610	8861216
8549517	8861002
8549506	8860816
8549407	8860597
8549287	8860406
8549307	8860188
8549197	8860003
8549145	8859806
8549070	8859623
8548969	8859394
8548967	8859217
8548821	8859016
8548827	8858854
8548702	8858662
8548674	8858405
8548594	8858282
8548535	8858059
8548443	8857875
8548415	8857666
8548328	8857552
8548241	8857324
8548175	8857177
8548064	8856940
8548097	8856688
8547980	8856612
8547919	8856380
8547804	8856202
8547752	8855962
8547717	8855850
8547641	8855634
8547637	8855475
8547531	8855354
8547388	8855133
8547440	8854899
8547351	8854697
8547249	8854501
8547192	8854431
8547123	8854199
8547009	8854016
8547007	8853856
8546869	8853656
8546892	8853508
8546804	8853358
8546785	8853156
8546686	8852982
8546620	8852753
8546560	8852666
8546491	8852471
8546482	8852275
8546370	8852131
8546269	8851922
8546188	8851766
8546206	8851650
8546042	8851392
8545995	8851285
8545977	8851063
8545866	8850895
8545851	8850717
8545784	8850538
8545741	8850458
8545683	8850262
8545576	8850106
8545558	8849948
8545507	8849732
8545404	8849586
8545406	8849413
8545307	8849312
8545209	8849104
8545179	8848876
8545129	8848781
8545026	8848601
8545006	8848448
8544935	8848314
8544908	8848131
8544828	8848004
8544761	8847814
8544688	8847704
8544614	8847497
8544555	8847357
8544539	8847222
8544459	8847052
8544426	8846897
8544370	8846688
8544231	8846533
8544246	8846392
8544137	8846298
8544091	8846122
8544048	8845957
8543936	8845742
8543936	8845618
8543833	8845500
8543770	8845353
8543787	8845214
8543641	8845096
8543626	8844899
8543597	8844759
8543512	8844601
8543398	8844486
8543387	8844330
8543358	8844179
8543288	8844035
8543177	8843868
8543136	8843732
8543144	8843564
8543048	8843474
8542914	8843312
8542879	8843191
8542845	8843025
8542764	8842884
8542747	8842687
8542770	8842612
8542694	8842469
8542597	8842344
8542480	8842157
8542423	8842031
8542385	8841901
8542379	8841790
8542323	8841599
8542201	8841494
8542186	8841350
8542106	8841207
8542027	8841076
8542019	8840977
8541942	8840803
8541843	8840682
8541804	8840584
8541780	8840394
8541707	8840283
8541712	8840192
8541638	8840055
8541615	8839878
8541450	8839794
8541493	8839651
8541404	8839517
8541297	8839406
8541230	8839276
8541187	8839118
8541144	8839030
8541128	8838917
8541059	8838764
8541028	8838549
8540986	8838474
8540929	8838366
8540888	8838223
8540879	8838110
8540746	8837972
8540693	8837822
8540641	8837722
8540598	8837613
8540538	8837476
8540491	8837400
8540407	8837298
8540324	8837144
8540309	8837022
8540206	8836872
8540216	8836802
8540165	8836684
8540104	8836505
8540069	8836423
8539913	8836300
8539949	8836201
8539926	8836051
8539847	8835918
8539810	8835866
8539714	8835715
8539658	8835599
8539611	8835511
8539563	8835449
8539480	8835257
8539427	8835178
8539406	8835038
8539344	8834974
8539322	8834871
8539264	8834713
8539213	8834659
8539138	8834512
8539083	8834393
8539049	8834298
8539060	8834218
8538923	8834109
8538914	8834019
8538827	8833899
8538758	8833730
8538768	8833705
8538687	8833585
8538613	8833464
8538596	8833373
8538502	8833234
8538475	8833144
8538446	8833045
8538377	8832899
8538310	8832825
8538266	8832715
8538213	8832636
8538121	8832526
8538128	8832428
8538084	8832315
8538019	8832206
8538005	8832120
8537878	8832021
8537914	8831903
8537800	8831839
8537791	8831738
8537689	8831600
8537640	8831521
8537591	8831403
8537501	8831297
8537537	8831254
8537420	8831154
8537382	8831114
8537316	8830962
8537252	8830861
8537221	8830828
8537219	8830691
8537144	8830614
8537091	8830557
8537038	8830411
8536977	8830313
8536936	8830258
8536856	8830123
8536799	8830019
8536838	8830039
8536753	8829885
8536650	8829758
8536623	8829703
8536581	8829661
8536550	8829515
8536463	8829446
8536468	8829379
8536443	8829323
8536345	8829206
8536323	8829141
8536240	8829016
8536223	8828919
